days,dollar_rate
1008,"3,67"
1009,"3,66"
1010,"3,66"
1011,"3,70"
1012,"3,71"
1013,"3,73"
1014,"3,77"
1015,"3,82"
1016,"3,77"
1017,"3,78"
1018,"3,81"
1019,"3,81"
1020,"3,82"
1021,"3,86"
1022,"3,85"
1023,"3,88"
1024,"3,85"
1025,"3,86"
1026,"3,87"
1027,"3,87"
1028,"3,88"
1029,"3,87"
1030,"3,88"
1031,"3,89"
1032,"3,95"
1033,"3,96"
1034,"3,92"
1035,"3,94"
1036,"3,93"
1037,"3,92"
1038,"3,95"
1039,"3,94"
1040,"3,93"
1041,"3,92"
1042,"3,86"
1043,"3,85"
1044,"3,86"
1045,"3,85"
1046,"3,83"
1047,"3,83"
1048,"3,84"
1049,"3,83"
1050,"3,86"
1051,"3,85"
1052,"3,83"
1053,"3,83"
1054,"3,82"
1055,"3,81"
1056,"3,81"
1057,"3,80"
1058,"3,82"
1059,"3,81"
1060,"3,77"
1061,"3,77"
1062,"3,76"
1063,"3,76"
1064,"3,75"
1065,"3,75"
1066,"3,76"
1067,"3,78"
1068,"3,79"
1069,"3,76"
1070,"3,76"
1071,"3,82"
1072,"3,81"
1073,"3,80"
1074,"3,78"
1075,"3,81"
1076,"3,79"
1077,"3,76"
1078,"3,74"
1079,"3,74"
1080,"3,77"
1081,"3,78"
1082,"3,75"
1083,"3,76"
1084,"3,75"
1085,"3,76"
1086,"3,78"
1087,"3,77"
1088,"3,81"
1089,"3,81"
1090,"3,81"
1091,"3,80"
1092,"3,80"
1093,"3,77"
1094,"3,75"
1095,"3,75"
1096,"3,77"
1097,"3,78"
1098,"3,80"
1099,"3,78"
1100,"3,78"
1101,"3,78"
1102,"3,80"
1103,"3,81"
1104,"3,80"
1105,"3,82"
1106,"3,80"
1107,"3,80"
1108,"3,81"
1109,"3,82"
1110,"3,82"
1111,"3,86"
1112,"3,86"
1113,"3,89"
1114,"3,90"
1115,"3,94"
1116,"3,94"
1117,"3,93"
1118,"3,91"
1119,"3,96"
1120,"3,97"
1121,"3,98"
1122,"3,99"
1123,"3,99"
1124,"3,95"
1125,"3,96"
1126,"3,98"
1127,"4,01"
1128,"4,03"
1129,"4,05"
1130,"4,06"
1131,"4,07"
1132,"4,15"
1133,"4,13"
1134,"4,08"
1135,"4,10"
1136,"4,10"
1137,"4,10"
1138,"4,03"
1139,"4,03"
1140,"4,08"
1141,"4,08"
1142,"4,07"
1143,"4,05"
1144,"4,04"
1145,"4,12"
1146,"4,19"
1147,"4,26"
1148,"4,26"
1149,"4,28"
1150,"4,29"
1151,"4,27"
1152,"4,26"
1153,"4,32"
1154,"4,39"
1155,"4,46"
1156,"4,44"
1157,"4,47"
1158,"4,55"
1159,"4,58"
1160,"4,85"
1161,"4,70"
1162,"4,72"
1163,"4,60"
1164,"4,60"
1165,"4,48"
1166,"4,48"
1167,"4,59"
1168,"4,63"
1169,"4,61"
1170,"4,61"
1171,"4,55"
1172,"4,50"
1173,"4,51"
1174,"4,55"
1175,"4,65"
1176,"4,65"
1177,"4,72"
1178,"4,75"
1179,"4,75"
1180,"4,75"
1181,"4,71"
1182,"4,64"
1183,"4,67"
1184,"4,63"
1185,"4,61"
1186,"4,56"
1187,"4,62"
1188,"4,66"
1189,"4,70"
1190,"4,64"
1191,"4,60"
1192,"4,53"
1193,"4,71"
1194,"4,75"
1195,"4,82"
1196,"4,84"
1197,"4,84"
1198,"4,84"
1199,"4,79"
1200,"4,82"
1201,"4,80"
1202,"4,75"
1203,"4,78"
1204,"4,85"
1205,"4,82"
1206,"4,86"
1207,"4,89"
1208,"4,90"
1209,"4,92"
1210,"5,05"
1211,"5,08"
1212,"5,15"
1213,"5,26"
1214,"5,28"
1215,"5,40"
1216,"5,94"
1217,"6,88"
1218,"6,55"
1219,"6,14"
1220,"5,80"
1221,"5,99"
1222,"5,99"
1223,"6,19"
1224,"6,22"
1225,"6,41"
1226,"6,55"
1227,"6,62"
1228,"6,68"
1229,"6,68"
1230,"6,59"
1231,"6,47"
1232,"6,45"
1233,"6,45"
1234,"6,39"
1235,"6,36"
1236,"6,07"
1237,"6,26"
1238,"6,36"
1239,"6,31"
